Horario;Horas;bets0;valor0;descValor0;bets1;valor1;descValor1;bets2;valor2;descValor2;fluxoApostas;LastSeq10;LastSeq9;LastSeq8;LastSeq7;LastSeq6;LastSeq5;LastSeq4;LastSeq3;LastSeq2;LastSeq1;Resultado
2;1129;16;126955;2;37;34996;1;17;10208;0;1;0;1;1;0;0;0;1;1;1;1;1
2;1129;29;105984;2;45;27463;1;7;2008;0;1;1;1;0;0;0;1;1;1;1;0;1
2;1130;20;74525;2;43;38958;1;13;24582;0;1;1;0;0;0;1;1;1;1;0;1;1
2;1130;22;173524;2;30;20180;0;13;39714;1;2;0;0;0;1;1;1;1;0;1;1;1
2;1130;16;55365;2;30;18365;0;12;25236;1;0;0;0;1;1;1;1;0;1;1;1;1
2;1131;12;81923;2;30;33696;0;9;34875;1;2;0;1;1;1;1;0;1;1;1;0;0
2;1131;12;25850;1;27;8392;0;9;54623;2;0;1;1;1;1;0;1;1;1;0;0;0
2;1132;11;3081;0;37;27214;2;17;5910;1;0;1;1;1;0;1;1;1;0;0;0;0
2;1132;19;30826;2;31;22935;1;14;13380;0;2;1;1;0;1;1;1;0;0;0;0;1
2;1132;11;17156;1;28;14947;0;14;38525;2;1;1;0;1;1;1;0;0;0;0;1;0
2;1133;13;26045;2;31;15467;1;8;5648;0;1;0;1;1;1;0;0;0;0;1;0;0
2;1133;13;22614;0;31;27279;1;17;74980;2;2;1;1;1;0;0;0;0;1;0;0;1
2;1134;11;6625;0;25;9662;1;12;38855;2;0;1;1;0;0;0;0;1;0;0;1;0
2;1134;14;52298;2;33;17897;1;15;14968;0;2;1;0;0;0;0;1;0;0;1;0;0
2;1134;11;13177;1;27;8222;0;19;14626;2;0;0;0;0;0;1;0;0;1;0;0;1
2;1135;14;34476;2;28;10239;0;19;33938;1;2;0;0;0;1;0;0;1;0;0;1;0
2;1135;17;76832;2;24;9131;1;7;1704;0;1;0;0;1;0;0;1;0;0;1;1;1
2;1136;16;23376;2;29;11897;1;8;1637;0;0;0;1;0;0;1;0;0;1;1;0;0
2;1136;6;601;0;21;8330;1;12;10682;2;0;1;0;0;1;0;0;1;1;0;0;1
2;1136;8;1630;0;29;11533;1;15;15221;2;1;0;0;1;0;0;1;1;0;0;1;1
2;1137;13;28349;1;43;29562;2;10;22458;0;2;0;1;0;0;1;1;0;0;1;2;0
2;1137;18;18407;2;27;15147;1;10;3998;0;0;1;0;0;1;1;0;0;1;2;1;0
2;1138;23;29192;2;31;14056;1;10;11193;0;1;0;0;1;1;0;0;1;2;1;0;0
2;1138;14;22897;1;29;14268;0;15;24765;2;1;0;1;1;0;0;1;2;1;0;1;0
2;1139;22;72849;2;31;16363;1;8;6312;0;1;0;0;1;2;1;0;1;1;2;0;0
3;1144;13;44070;1;29;41977;0;16;187879;2;2;0;0;1;2;0;0;0;0;2;0;0
3;1145;14;30384;1;33;47674;2;15;23357;0;0;0;1;2;0;0;0;0;2;0;1;1
3;1145;11;18071;0;31;72744;1;15;111257;2;2;1;2;0;0;0;0;2;0;1;0;0
3;1146;11;27756;0;34;50246;2;12;34702;1;0;2;0;0;0;0;2;0;1;0;0;0
3;1146;11;60209;1;32;40237;0;15;74933;2;2;0;0;0;0;2;0;1;0;0;0;1
3;1146;12;29601;1;31;19870;0;17;123224;2;1;0;0;0;2;0;1;0;0;0;0;0
3;1147;9;18356;0;37;45097;2;27;26850;1;0;0;0;2;0;1;0;0;0;0;1;1
3;1147;8;6914;0;32;40777;1;31;76474;2;1;0;2;0;1;0;0;0;0;1;1;1
3;1148;17;63640;2;29;27886;1;12;5925;0;1;0;1;0;0;0;0;1;1;1;1;1
3;1149;16;19344;1;39;30486;2;12;14755;0;1;0;0;0;0;1;1;1;1;0;2;1
3;1149;10;19257;0;29;20846;1;17;42499;2;1;0;0;0;1;1;1;1;0;2;1;1
3;1150;15;44432;2;28;12169;0;13;15992;1;1;0;0;1;1;1;1;0;2;1;0;0
3;1150;9;13539;1;29;17029;2;13;2742;0;0;0;1;1;1;1;0;2;1;0;0;0
3;1150;12;2793;0;33;18151;1;14;30502;2;2;1;1;1;1;0;2;1;0;0;0;1
3;1151;9;33076;1;30;18016;0;14;57242;2;2;1;1;1;0;2;1;0;0;0;1;0
3;1151;12;57955;1;33;19732;0;14;176616;2;2;1;1;0;2;1;0;0;0;1;0;0
3;1152;10;20304;1;31;15539;0;14;258404;2;1;1;0;2;1;0;0;0;1;0;0;1
3;1152;10;11596;0;32;12284;1;10;22625;2;0;0;2;1;0;0;0;1;0;0;1;1
3;1152;11;5265;0;31;39921;2;12;28919;1;2;2;1;0;0;0;1;0;0;1;1;1
3;1153;14;12311;0;31;22613;1;11;39508;2;1;1;0;0;0;1;0;0;1;1;1;0
3;1153;16;4580;0;31;16847;1;9;53570;2;1;0;0;0;1;0;0;1;1;1;0;0
3;1154;11;29295;1;31;14165;0;13;110811;2;2;0;0;1;0;0;1;1;1;0;0;1
3;1154;8;5579;0;35;16370;1;17;291782;2;2;0;1;0;0;1;1;1;0;0;0;0
3;1154;13;42885;2;35;28859;1;12;17052;0;0;1;0;0;1;1;1;0;0;0;1;0
3;1155;17;25876;2;30;17677;1;11;16062;0;1;0;0;1;1;1;0;0;0;1;0;0
3;1155;15;14387;0;36;29744;1;13;32056;2;1;0;1;1;1;0;0;0;1;0;1;1
3;1156;7;36105;1;29;19713;0;22;49680;2;1;1;1;1;0;0;0;1;0;1;0;0
3;1156;14;23029;0;29;23543;1;14;142225;2;2;1;1;0;0;0;1;0;1;0;0;0
3;1156;9;6205;0;27;17252;1;21;252867;2;1;1;0;0;0;1;0;1;0;0;0;0
